Rank,Robot,Weapon
1,Blitz MK2 ;,Halo MK2
1,Blitz MK2 ;,Gust MK2
1,Blitz MK2 ;,Gust MK2
1,Blitz MK2 ;,Halo MK2
1,HaechiMK2,Scourge MK2
1,HaechiMK2,Scourge MK2
1,HaechiMK2,Scourge MK2
1,HaechiMK2,ae
1,Bulwark MKe2 -,Dragoon MK2
1,Bulwark MKe2 -,Dragoon MK2
1,Bulwark MKe2 -,". £3, p"
1,Bulwark MKe2 -,"” , ee"
1,Spectre MK2,Orkan MK2
1,Spectre MK2,Orkan MK2
1,Spectre MK2,Orkan MK2
1,Spectre MK2,Orkan MK2
1,Inquisitor MK2:,Taran MK2
1,Inquisitor MK2:,Taran MK2 :
1,Inquisitor MK2:,Ember MK2
1,Inquisitor MK2:,_ t ~
2,Ares ;,Tulumbas MK2
2,Ares ;,Halo MK2
2,Ares ;,Halo MK2
2,Ares ;,Tulumbas MK2
2,Ares MK2 ;,Pulsar MK2
2,Ares MK2 ;,Halo MK2
2,Ares MK2 ;,Hala MK2
2,Ares MK2 ;,Pulsar MK2
2,Ares MK2 ',Corona
2,Ares MK2 ',Halo
2,Ares MK2 ',Halo MK2
2,Ares MK2 ',Corona MK2
2,Mercury MK2,Ecu
2,Mercury MK2,Ember MK2
2,Mercury MK2,Halo MK2
2,Mercury MK2,om
2,Strider MK2-,Halo MK2
2,Strider MK2-,Halo
2,Strider MK2-,Ember MK2
2,Strider MK2-,
3,FalconMK2—,Redeemer MK2
3,FalconMK2—,Ember MK2
3,FalconMK2—,Redeemer MK2
3,FalconMK2—,"be. , /"
3,Mercury MkKe «,Halo
3,Mercury MkKe «,Ember MK2
3,Mercury MkKe «,Halo
3,Mercury MkKe «,
3,Ares ‘,Pulsar
3,Ares ‘,Halo MK2
3,Ares ‘,Hala MK2
3,Ares ‘,Pulsar
3,Mercury MK2,Hala MK2
3,Mercury MK2,Avenger MK2
3,Mercury MK2,Halo MK2
3,Mercury MK2,a wD
3,Ao Jun :,Dragoon MK2
3,Ao Jun :,Dragoon MK2
3,Ao Jun :,aid
3,Ao Jun :,a r;
4,Ares ;,Corona
4,Ares ;,Halo MK2
4,Ares ;,Hala MK2
4,Ares ;,Corona
4,Mercury MkKe «,Dragon Blaze
4,Mercury MkKe «,Ember MK2
4,Mercury MkKe «,Dragon Blaze
4,Mercury MkKe «,a(n
4,Ao Jun ‘,Avenger MK2
4,Ao Jun ‘,Avenger MK2
4,Ao Jun ‘,gid
4,Ao Jun ‘,"nie . r, {"
4,Invader,Storm MK2
4,Invader,Gust MK2
4,Invader,Gust MK2
4,Invader,:
4,FalconMKe2—,Dragoon MK2
4,FalconMKe2—,Ember MK2
4,FalconMKe2—,Dragoon MK2
4,FalconMKe2—,Wot
5,Hellburner MKé,Halo
5,Hellburner MKé,Ember MK2
5,Hellburner MKé,wy
5,Hellburner MKé,ee
5,FalconMK2~,Tempest
5,FalconMK2~,Avenger MK2
5,FalconMK2~,Tempest
5,FalconMK2~,ae
5,Invader ‘,Storm MK2
5,Invader ‘,Gust MK2
5,Invader ‘,Gust MK2
5,Invader ‘,:
5,Ares MK2,Taran MK2
5,Ares MK2,Halo
5,Ares MK2,Halo
5,Ares MK2,Taran MK2
5,Ares :,Pulsar
5,Ares :,Halo
5,Ares :,Halo
5,Ares :,Pulsar
6,Ao JunMKe -,Redeemer MK2
6,Ao JunMKe -,Avenger MK2
6,Ao JunMKe -,aid
6,Ao JunMKe -,a. r;
6,Ares MK2 ;,Corona MK2
6,Ares MK2 ;,Halo MK2
6,Ares MK2 ;,Halo
6,Ares MK2 ;,Corona MK2
6,Invader MK2 -,Storm MK2
6,Invader MK2 -,Gust MK2
6,Invader MK2 -,Halo MK2
6,Invader MK2 -,:
6,Ao Jun MK2,Glory MK2
6,Ao Jun MK2,Ember MK2
6,Ao Jun MK2,a4Qid
6,Ao Jun MK2,a
6,Ares MK2 ;,Scourge MK2
6,Ares MK2 ;,Shredder MK2 |
6,Ares MK2 ;,Shredder
6,Ares MK2 ;,Scourge MK2
7,FalconMK2— +,Dragoon MK2
7,FalconMK2— +,Avenger MK2
7,FalconMK2— +,Dragoon
7,FalconMK2— +,sy
7,Ares 4,Scourge MK2
7,Ares 4,Halo MK2 ‘
7,Ares 4,Hala MK2
7,Ares 4,Scourge MK2
7,Mercury Mke -,Halo
7,Mercury Mke -,Ember MK2
7,Mercury Mke -,Halo
7,Mercury Mke -,ay we
7,Ares MK2,Scourge MK2
7,Ares MK2,Halo MK2
7,Ares MK2,Shredder
7,Ares MK2,Scourge MK2
7,Hellburner ‘,Gust MK2
7,Hellburner ‘,Avenger MK2
7,Hellburner ‘,gy
7,Hellburner ‘,“ye
8,Ares MK2 :,Corona MK2
8,Ares MK2 :,Halo MK2
8,Ares MK2 :,Hala MK2
8,Ares MK2 :,Corona MK2
8,Hellburner MKé,Halo MK2
8,Hellburner MKé,Ember MK2
8,Hellburner MKé,
8,Hellburner MKé,vs “
8,AoJunMKe,Dragon Calamity
8,AoJunMKe,Min Calamity
8,AoJunMKe,a? ‘ 4
8,AoJunMKe,"y r, i"
8,Ares MK2,Taran MK2
8,Ares MK2,Halo MK2
8,Ares MK2,Hala MK2
8,Ares MK2,Taran MK2
8,FalconMKe2—,Dragoon MK2
8,FalconMKe2—,Avenger MK2
8,FalconMKe2—,Dragoon MK2
8,FalconMKe2—,he a
9,Ares ;,Corona MK2
9,Ares ;,Halo MK2
9,Ares ;,Halo
9,Ares ;,Corona
9,Mender MK2 -«,Spark
9,Mender MK2 -«,Scourge MK2
9,Mender MK2 -«,Spark /
9,Mender MK2 -«,‘ ae
9,Hellburner ‘,Dragon Blaze
9,Hellburner ‘,Ember MK2
9,Hellburner ‘,
9,Hellburner ‘,(2 no
9,Mercury MK2,Hala MK2
9,Mercury MK2,Avenger MK2
9,Mercury MK2,Halo
9,Mercury MK2,a wD
9,FalconMK2—,Exodus
9,FalconMK2—,Exodus MK2
9,FalconMK2—,Exodus
9,FalconMK2—,
10,Spectre MKe «,Shocktrain MK2
10,Spectre MKe «,Shaocktrain MK2
10,Spectre MKe «,Shocktrain MK2
10,Spectre MKe «,Shocktrain MK2
10,Falcon MK2~ «,Trident MK2
10,Falcon MK2~ «,Trident MK2
10,Falcon MK2~ «,Trident
10,Falcon MK2~ «,
10,Mender MK2 -,Magnum
10,Mender MK2 -,Scourge MKe2
10,Mender MK2 -,Magnum
10,Mender MK2 -,é oe
10,Inquisitor MK2,Taran MK2
10,Inquisitor MK2,Taran MK2
10,Inquisitor MK2,Ember MK2
10,Inquisitor MK2,7 1 ~
10,Strider ‘,Gust
10,Strider ‘,Gust
10,Strider ‘,Avenger
10,Strider ‘,
11,Strider MK2—-,Hala MK2
11,Strider MK2—-,Halo MK2
11,Strider MK2—-,Avenger MK2
11,Strider MK2—-,oe A
11,Mercury MkKe «,Hala MK2
11,Mercury MkKe «,Avenger MK2
11,Mercury MkKe «,Halo MK2
11,Mercury MkKe «,a -
11,Ares MK2 ',Corona MK2
11,Ares MK2 ',Halo MK2
11,Ares MK2 ',Hala MK2
11,Ares MK2 ',Corona
11,Ao Jun,Viper MK2
11,Ao Jun,Viper MK2
11,Ao Jun,Lid
11,Ao Jun,& y ri;
11,Ares :,Tulumbas MK2
11,Ares :,Pin
11,Ares :,Pin
11,Ares :,Tulumbas MK2
12,Ao Jun ;,Dragoon MK2
12,Ao Jun ;,Dragoon MK2
12,Ao Jun ;,aid
12,Ao Jun ;,a PY
12,Ao Guang ;,Taran MK2
12,Ao Guang ;,Taran MK2
12,Ao Guang ;,Taran MK2
12,Ao Guang ;,
12,Ares ‘,Taran MK2
12,Ares ‘,Dragon Blaze
12,Ares ‘,Dragon Blaze
12,Ares ‘,Taran MK2
12,Ares,Orkan MK2
12,Ares,Gust MK2
12,Ares,Gust MK2
12,Ares,Orkan MK2
12,Ares :,Corona
12,Ares :,Halo
12,Ares :,Halo
12,Ares :,Corona
13,Pursuer MKe «,Gust MK2
13,Pursuer MKe «,Gust MK2
13,Pursuer MKe «,Gust MK2
13,Pursuer MKe «,"* v,"
13,Mender MK2 -«,Hala MK2
13,Mender MK2 -«,Taran MK2
13,Mender MK2 -«,Halo
13,Mender MK2 -«,‘ oe
13,Mender ‘,Halo
13,Mender ‘,Taran MK2
13,Mender ‘,Halo
13,Mender ‘,‘ owe
13,Ares,Scourge MK2
13,Ares,Shredder
13,Ares,Shredder
13,Ares,Scourge MK2
13,Spectre MKe -,Pulsar
13,Spectre MKe -,Pulsar
13,Spectre MKe -,Pulsar
13,Spectre MKe -,Pulsar .
14,FalconMK2— +,Viper MK2
14,FalconMK2— +,Avenger MK2
14,FalconMK2— +,Avenger MK2
14,FalconMK2— +,"be - """
14,Mercury MkKe «,Halo
14,Mercury MkKe «,Ember MK2
14,Mercury MkKe «,Halo
14,Mercury MkKe «,ay we
14,Mercury Mke -,Halo
14,Mercury Mke -,Avenger MK2
14,Mercury Mke -,Halo
14,Mercury Mke -,4 -
14,Ares,Tulumbas MK2
14,Ares,Gust MK2
14,Ares,Halo
14,Ares,Tulumbas MK2
14,Ares :,Pulsar
14,Ares :,Halo
14,Ares :,Halo
14,Ares :,Pulsar
15,Ares MK2 :,Tulumbas MK2
15,Ares MK2 :,Pin MK2
15,Ares MK2 :,Pin MK2
15,Ares MK2 :,Tulumbas MK2
15,Mercury ;,Gust MK2
15,Mercury ;,Avenger MK2
15,Mercury ;,Gust MK2
15,Mercury ;,"a, we"
15,Hellburner MK:,Halo
15,Hellburner MK:,Ember MK2
15,Hellburner MK:,wy
15,Hellburner MK:,a
15,Mercury MK2,Halo
15,Mercury MK2,Avenger MK2
15,Mercury MK2,Halo
15,Mercury MK2,a wD
15,Ares :,Storm MK2
15,Ares :,Halo
15,Ares :,Halo
15,Ares :,Pulsar
