,Rank,Robot,Weapon,R_MK2,W_MK2
0,1,Mercury,Halo,True,False
1,1,Mercury,Ember,True,True
2,1,Mercury,Halo,True,False
3,1,Mercury,,True,False
4,1,Hellburner,Halo,True,True
5,1,Hellburner,Exodus,True,True
6,1,Hellburner,,True,False
7,1,Hellburner,,True,False
8,1,Ares,Corona,True,False
9,1,Ares,Halo,True,True
10,1,Ares,Halo,True,True
11,1,Ares,Corona,True,True
12,1,Bulwark,Dragoon,True,True
13,1,Bulwark,Dragoon,True,True
14,1,Bulwark,,True,False
15,1,Bulwark,,True,False
16,1,Ares,Pulsar,False,False
17,1,Ares,Halo,False,True
18,1,Ares,Halo,False,True
19,1,Ares,Pulsar,False,True
20,2,Mercury,Halo,True,False
21,2,Mercury,Avenger,True,False
22,2,Mercury,Halo,True,False
23,2,Mercury,,True,False
24,2,Hellburner,Halo,True,False
25,2,Hellburner,Ember,True,True
26,2,Hellburner,,True,False
27,2,Hellburner,,True,False
28,2,Mender,Spark,True,False
29,2,Mender,Corona,True,False
30,2,Mender,Spark,True,False
31,2,Mender,,True,False
32,2,Fury,Trident,True,True
33,2,Fury,Trident,True,True
34,2,Fury,Trident,True,True
35,2,Fury,,True,False
36,2,Ares,Pulsar,True,False
37,2,Ares,Shredder,True,False
38,2,Ares,Shredder,True,False
39,2,Ares,Pulsar,True,False
40,3,Hellburner,Gust,True,True
41,3,Hellburner,Ember,True,True
42,3,Hellburner,,True,False
43,3,Hellburner,,True,False
44,3,Mender,Halo,True,False
45,3,Mender,Taran,True,True
46,3,Mender,Halo,True,False
47,3,Mender,,True,False
48,3,Mercury,Halo,True,False
49,3,Mercury,Avenger,True,True
50,3,Mercury,Halo,True,False
51,3,Mercury,,True,False
52,3,Falcon,Trident,True,True
53,3,Falcon,Avenger,True,False
54,3,Falcon,Trident,True,True
55,3,Falcon,,True,False
56,3,Ares,Corona,True,False
57,3,Ares,Halo,True,False
58,3,Ares,Halo,True,False
59,3,Ares,Corona,True,False
60,4,Mercury,Gust,False,True
61,4,Mercury,Ember,False,True
62,4,Mercury,Gust,False,True
63,4,Mercury,,False,False
64,4,Falcon,Dragoon,True,True
65,4,Falcon,Avenger,True,True
66,4,Falcon,Dragoon,True,True
67,4,Falcon,,True,False
68,4,Ares,Taran,True,True
69,4,Ares,Halo,True,False
70,4,Ares,Halo,True,False
71,4,Ares,Taran,True,True
72,4,Mercury,Halo,True,True
73,4,Mercury,Avenger,True,True
74,4,Mercury,Halo,True,True
75,4,Mercury,,True,False
76,4,Ares,Taran,True,True
77,4,Ares,Halo,True,False
78,4,Ares,Halo,True,False
79,4,Ares,Taran,True,True
80,5,Ares,Taran,True,True
81,5,Ares,Halo,True,False
82,5,Ares,Halo,True,False
83,5,Ares,Taran,True,True
84,5,Mender,Halo,True,False
85,5,Mender,Storm,True,True
86,5,Mender,Gust,True,True
87,5,Mender,,True,False
88,5,Mercury,Halo,False,False
89,5,Mercury,Avenger,False,False
90,5,Mercury,Gust,False,True
91,5,Mercury,,False,False
92,5,Mercury,Halo,True,False
93,5,Mercury,Avenger,True,True
